title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Sikhism Through Its Scriptures,This course examines the Sikh scripture from a doctrinal and historical perspective by providing an overview of Sikh teachings as well as the historical context within which the scripture evolved and became canonized.,"44,125",Self-paced on your time,Harvard University,Harpreet Singh-Ravinder Singh-Damanpreet Singh,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,"Sikhi, commonly known as Sikhism, is a monotheistic religious tradition that was founded byGuru Nanak in late fifteenth-century Panjab in South Asia. Today, Sikhi’s approximately twenty-five to thirty million adherents can be found all over the globe, making it one of the six major religions of the world. Sikhi encompasses a number of religious, social, economic and politicalinstitutions, most of which were established and nurtured by Guru Nanak and his ninesuccessors, known as Sikh Gurus. For over five hundred years, Sikhs in the Panjab and all over the world have engaged with their scripture, the Guru Granth Sahib, through the devotional practices of exegesis, singing,recitation, memorization and calligraphy. This course examines the Sikh scripture from a doctrinal and historical perspective by providingan overview of Sikh teachings as well as the historical context within which the scripture evolvedand became canonized. It also examines the musical and aesthetic dimensions of the Sikhscripture, as well as ways in which the voluminous text has provided Sikhs with a social, ethical,spiritual and political message to help them respond to and shape the world around them.",,https://www.edx.org/course/sikhism-through-its-scriptures
Upper-Intermediate English: Business and Modern Life,"Advance your English languageskillsas you learn how to rephrase sentences andprepare for an interview. Topics such as films, sports, and natural resources will also be discussed.","77,991",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,3–5 hours per week,4 Weeks,FREE-Add a Verified Certificate for $50 USD,"This course is the second in a series of four English language MOOCs designed for students with an intermediate level of English looking to reach a higher intermediate level. The course is comprised of video lessons, reading comprehension activities, grammar explanations and exercises, listening comprehension activities and speaking practice. The course covers interesting topics such as the Olympic Games, natural resources, extreme sports, health issues, films, pollution or pets. This course also includes preparatory materials and recommendations to take the Cambridge University First Certificate in English Examination (FCE).",,https://www.edx.org/course/upper-intermediate-english-modern-life
Introduction to Probability,"Learn probability, an essential language and set of tools for understanding data, randomness, and uncertainty.","97,291",Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,5–10 hours per week,10 Weeks,FREE-Add a Verified Certificate for $99 USD,"Probability and statistics help to bring logic to a world replete with randomness and uncertainty. This course will give you tools needed to understand data, science, philosophy, engineering, economics, and finance. You will learn not only how to solve challenging technical problems, but also how you can apply those solutions in everyday life. With examples ranging from medical testing to sports prediction, you will gain a strong foundation for the study of statistical inference, stochastic processes, randomized algorithms, and other subjects where probability is needed.",,https://www.edx.org/course/introduction-to-probability
Religious Literacy: Traditions and Scriptures,Learn how to better understand the rich and complex ways that religions function in historic and contemporary contexts.,"96,972",Self-paced on your time,Harvard University,Diane L. Moore-Anna Mudd,Introductory,Humanities,English,English,5–10 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,"The study of religion is the study of a rich and fascinating dimension of human experience that includes but goes well beyond beliefs and ritual practices. In this religion course, learners explore case studies about how religions are internally diverse, how they evolve and change through time, and how religions are embedded in all dimensions of human experience. We’ll explore these tenets through the lens of scripture and through themes such as gender and sexuality, art, violence and peace, science, and power and authority.Join peers from around the world to embark on this journey to better understand religion in human affairs.",,https://www.edx.org/course/religious-literacy-traditions-and-scriptures
Programación para todos (empezando con Python),"Este curso en línea es una introducción ""sin prerrequisitos"" a la programación en Python. Aprenderás sobre las variables, la ejecución condicional, la ejecución repetida y cómo usamos las funciones.","81,004",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,2–4 hours per week,7 Weeks,FREE-Add a Verified Certificate for $49 USD,"Este curso de Python tiene el objetivo de enseñar a todos lo básico de la programación de computadoras usando Python. Conocerás cómo construir un programa de una serie de instrucciones simples en Python. El curso de programación no tiene prerrequisitos y evita todo menos la matemática más simple. Cualquier persona con experiencia moderada con computadoras debe poder dominar los materiales en este MOOC. Este curso de informática cubrirá los Capítulos 1-5 del libro «Python para Todos». Una vez que un estudiante completa este curso, estará listo para tomar cursos de programación más avanzados. Este curso cubre Python 3. Los ejercicios se realizan en un navegador web para que puedas realizar todas las tareas de programación en un teléfono o computadora pública. ¡Comienza a programar en Python hoy mismo!",,https://www.edx.org/course/programacion-para-todos-empezando-con-python
Analyzing and Visualizing Data with Power BI,Step up your analytics game and learn one of the most in-demand job skills in the United States.,"28,879",Self-paced on your time,Davidson College,Pete Benbow,Introductory,Data Analysis & Statistics,English,English,10–20 hours per week,4 Weeks,FREE-Add a Verified Certificate for $99 USD,"Power BI is a robust business analytics and visualization tool from Microsoft that helps data professionals bring their data to life and tell more meaningful stores.This four-week course is a beginner's guide to working with data in Power BI and is perfect for professionals. You'll become confident in working with data, creating data visualizations, and preparing reports and dashboards.Take this course if you are a:Image Attribution: ""Data visualization & Infographic/UNICEF reports Vol. 1"" by Shangning Wang, Olga Oleszczuk is licensed under  CC BY-NC-ND 4.0 ",,https://www.edx.org/course/data-analysis-in-power-bi
High-Dimensional Data Analysis,A focus on several techniques that are widely used in the analysis of high-dimensional data.,"78,443",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Advanced,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,"If you’re interested in data analysis and interpretation, then this is the data science course for you. We start by learning the mathematical definition of distance and use this to motivate the use of the singular value decomposition (SVD) for dimension reduction of high-dimensional data sets, and multi-dimensional scaling and its connection to principle component analysis. We will learn about the batch effect, the most challenging data analytical problem in genomics today, and describe how the techniques can be used to detect and adjust for batch effects. Specifically, we will describe the principal component analysis and factor analysis and demonstrate how these concepts are applied to data visualization and data analysis of high-throughput experimental data.Finally, we give a brief introduction to machine learning and apply it to high-throughput, large-scale data. We describe the general idea behind clustering analysis and descript K-means and hierarchical clustering and demonstrate how these are used in genomics and describe prediction algorithms such as k-nearest neighbors along with the concepts of training sets, test sets, error rates and cross-validation.Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the introductory biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.These courses make up two Professional Certificates and are self-paced:Data Analysis for Life Sciences:Genomics Data Analysis:This class was supported in part by NIH grant R25GM114818.",,https://www.edx.org/course/high-dimensional-data-analysis
Introduction To Music Theory,"Learn key concepts and approaches needed to understand, create, and perform contemporary music.","67,029",Self-paced on your time,Berklee College of Music,George Russell,Introductory,Humanities,English,English,3–5 hours per week,6 Weeks,FREE-Add a Verified Certificate for $49 USD,"Do you have a passion for music and want to learn more about how it works? Are you a musician who learned by ear and has no formal training? Would you like to study music but are unsure of where to begin? Then this music theory course is for you. This course includes six lessons that will give you the knowledge and skills you need to understand basic music theory. You’ll learn from Berklee College of Music professor George W. Russell, Jr. and from Berklee students who share their musical journey and offer advice for those wanting to study music. Above all, the course is designed to impart the joy of creating music and sharing it with others.","Lesson 1: Major Scale Defining Harmony, Ear Training, and Intervals Constructing and Singing the Major Scale Major 2nd and Major 3rd Intervals Finding the Tonal Center Lesson 2: Major and Minor Triads Review from Lesson 1 Perfect 4th and Perfect 5th Intervals Building Major and Minor Triads The I IV V Chord Progression Lesson 3: Pentatonic Scale Review from Lesson 2 Major 6th and Major 7th Intervals Building and Singing the Minor Pentatonic Scale Lesson 4: Major and Dominant Seventh Chords Review from Lesson 3 Building Major and Dominant Seventh Chords Blues Progression Lesson 5: Song Form Review from Lesson 4 7-3-5 Chord Voicings 4/4 and 3/4 Time Signatures Blues and AABA Song Forms Chord Sheets Lesson 6: Review Review of All Material Composing a Blues Riff Tune Using the Minor Pentatonic Scale",https://www.edx.org/course/introduction-to-music-theory-2
Human Anatomy,The first MOOC to teach Human Anatomy from multiple healthcare professional perspectives through a case-based study of stroke.,"126,850",Self-paced on your time,The Hong Kong Polytechnic University,John Yuen-Benson Lau-Allen Cheong-Richard Li,Introductory,Medicine,English,English,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $139 USD,"How is the human body structured? How are the different body systems interconnected with each other? If you are interested but layman to Human Anatomy, if you find the Human Anatomy textbooks are too difficult to read, or if you want to freshen up quickly your anatomy knowledge, this is the course for you.Human Anatomy is fundamental to every medical and healthcare professional. However, the science of anatomy and effects of stroke are also extremely useful to anyone interested in understanding more about the human body. In this course, you’ll gain an understanding of the basic concepts of anatomy and learn to ‘dissect’ the human body with a logical approach through a typical clinical case of stroke.Case-based study:
A real-life severe stroke case is adopted in this MOOC to articulate the application of Human Anatomy knowledge. This case scenario is presented by using a micro movie together with an interactive case summary and interview to arouse learners’ interest.Module-based design:
In addition to the presentation of a stroke case scenario in Module ONE, two more modules are included. In Module TWO, general knowledge of human anatomy related to the stroke case, including organs of important body systems, anatomical orientation, skeletal and muscular system, nervous system and special senses, and cardiovascular and pulmonary system. And Module THREE is specific for healthcare professionals or learners who want to know more about the health services being provided to stroke patients. It rounds up the course with six healthcare-discipline specific role play videos and lectures given by visiting professors.",Module 1 – Stroke Case PresentationModule 2 – Human Anatomy LecturesModule 3 – Healthcare-discipline Specific Role Plays and Round-up SessionVisiting Professors to share opinions in the application of essential anatomy knowledge related to the case and their disciplines,https://www.edx.org/course/human-anatomy
"CitiesX: The Past, Present and Future of Urban Life","Explore what makes cities energizing, amazing, challenging, and perhaps humanity’s greatest invention.","76,874",Self-paced on your time,Harvard University,Edward Glaeser,Introductory,Social Sciences,English,"English, Português",5–7 hours per week,11 Weeks,FREE-Add a Verified Certificate for $99 USD,"For the first time in human history, more than fifty percent of the world’s population lives in urban areas. Cities allow for the exchange of ideas, and generate remarkable innovations in business, art, and ideas. Cities are also home to millions living in poverty. Urban living can provide a pathway to a better life, but that’s not always the case for many people around the world. CitiesX will give you a far-ranging look at the past, present and future of cities, with the aim of teaching you how to better understand, appreciate and improve urban areas. The course will explore key concepts of urban development by examining cities around the world, including London, Rio de Janeiro, New York City, Shanghai, Mumbai, Kigali, and many more. The course includes a historical exploration of cities: how urban centers like ancient Rome resulted from consolidation of imperial power, how cities like Sao Paulo grew as important hotbeds of industry, and how cities like Seattle became hubs of technology and human capital. CitiesX also dives into pressing social and urban planning issues like public health, transportation, zoning, gentrification, cost of living, crime, and congestion. The course includes interviews and insights from academics, policy makers, urban leaders and city residents. The analytical framework of the course comes from economics, but is enhanced by conversations with experts from other disciplines (including Sociology, Urban Planning, Journalism, Anthropology, History, Art & Music) to provide learners with a greater understanding of all aspects of urbanism. Support for CitiesX is generously provided by Tishman Speyer.",,https://www.edx.org/course/citiesx-the-past-present-and-future-of-urban-life
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,"Why should we care about Confucius? Explore ancient Chinese philosophy, ethics, and political theory to challenge your assumptions of what it means to be happy, live a meaningful life, and change the world.","24,208",Self-paced on your time,Harvard University,Michael Puett,Introductory,Philosophy & Ethics,English,English,1–2 hours per week,13 Weeks,FREE-Add a Verified Certificate for $99 USD,"Today, finding happiness is about mindfulness and discovering your true self. You may have heard that happiness is found by looking within. Ancient Chinese philosophy challenges all of these modern assumptions. From Confucianism to Daoism, the philosophies developed over two thousand years ago are among the most powerful in human history. This course brings voices from the past into modern contexts to explore the path to a good life today. The philosophical concepts discussed provide tools to change your life and increase personal happiness by focusing on your actions, the power of ritual, and the importance of sensing the world around you. Through a series of lectures, animations, discussions, and reflection diaries, this course focuses on close readings from prominent Chinese philosophers. The course requires no prior knowledge of Chinese philosophy or history and all texts are in translation. Adapted from one of the most popular classes at Harvard, this course is now available online for the first time. Learn from award-winning professor Michael Puett and start on your path towards happiness.",,https://www.edx.org/course/the-path-to-happiness
Entrepreneurship 101: Who is your customer?,Entrepreneurship can be learned. Begin your journey by learning the first important skill for aspiring entrepreneurs.,"41,838",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,FREE-Add a Verified Certificate for $49 USD,"What separates an idea from a business?A paying customer.And this is where we want to take you in this course. From there you’ll begin growing your group of target customers. This will set in motion your flywheel toward an impactful enterprise.Yes, entrepreneurship is a creative process—this is what makes it fun. But a methodical approach is necessary for it to work. And it is this combination of creativity and discipline that you’ll begin learning in this course. Specifically, upon completion of Entrepreneurship 101, you’ll have the skills to:Entrepreneurship 101 is based on case studies of MIT startup companies and their founders. Through them you’ll get exposed to innovations in mobile apps, 3D printing, power electronics, international development, watchmaking, and more. In the process you will learn how to interview potential customers, understand the crucial difference between top-down and bottom-up market analysis, and develop a strategic framework for deciding what markets to pursue for your product or service.This course is particularly useful for:Entrepreneurship 101 prepares you for an MIT Bootcamp. In this program you will be challenged to start a company in 5 days. In the process you will learn from MIT faculty and get coached by MIT entrepreneurs.",,https://www.edx.org/course/entrepreneurship-101-who-is-your-customer
"U.S. Public Policy: Social, Economic, and Foreign Policies",Learn about public policy in America and the dynamics of American politics.,"44,045",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $49 USD,"Public policy puts laws into action. The executive branch directs the combined activities of the federal government to address a multitude of problems, from the environment to the economy. The policies of the United States affect social issues, economic growth, taxes, regulation, and foreign affairs. This course will take a broad view of public policy in America but will use specific examples, such as the 2008 economic downturn and climate change, to illustrate the wide-ranging effects of those policies. We’ll address the intersection of religion and politics, and how issues such as abortion and same-sex marriage have played out in the political arena. We’ll discuss fiscal, monetary, welfare and income policy—what they are, what tools they involve, and what political divisions they create. We’ll examine partisan divisions over regulatory policy, and the basis for those divisions. Finally, we’ll trace the evolution of America’s position as a trading nation by examining trade agreements like the North American Free Trade Agreement (NAFTA) and the Trans-Pacific Partnership (TPP). This course will also serve as an overview of American government, concentrating on overarching tendencies such as its fragmented power structure. The importance of these tendencies will be explained by showing how thoroughly each of them affects American politics.","Week 1: Social Policy 
This session will concentrate on the intersection of religion and politics, historically and currently. We will explain how issues such as abortion and same-sex marriage have played out in ways that have aligned religious conservatives with the Republican Party and religious liberals and seculars with the Democratic Party. Week 2: Fiscal & Monetary Policy 
This session examines fiscal policy and monetary policy—what they are, what tools they involve, and what political divisions they create. The nature of these policies will be illustrated through several cases, including the policies enacted in response to the economic downturn that began in 2008. Week 3: Welfare & Income Policy 
This session will describe and explain these developments, relating them to both the nature of the U.S. economy and the nature of U.S. policy. The structure and politics of the U.S. welfare system and the U.S. tax system will be points of emphasis. Week 4: Regulatory Policy 
While emphasizing policy, the session will also address partisan divisions over regulatory policy, and the basis for those divisions. Several cases, most notably the politics and policies of climate change, will be used to illustrate key points. Week 5: Foreign Policy 
This session will trace the evolution of America’s position as a trading nation during the post-World War II era, concentrating first on the factors that made America in the immediate post-war period the world’s unquestioned economic power and then on the factors that weakened that position. The session will conclude with an examination of the politics and policies of trade agreements, including adoption in 1993 of the North American Free Trade Agreement (NAFTA) and the rejection in 2017 of the proposed Trans-Pacific Partnership (TPP). Week 6: Dynamics of American Politics 
This session will serve as an overview of the course, concentrating on major tendencies within the American system, such as its fragmented power structure. The importance of these tendencies will be explained by showing how thoroughly each of them affects American politics. The purpose of this session is to reinforce and clarify the “lessons learned” during the course.",https://www.edx.org/course/us-public-policy-social-economic-and-foreign-polic
Machine Learning with Python: from Linear Models to Deep Learning,"An in-depth introduction to the field of machine learning, from linear models to deep learning and reinforcement learning, through hands-on Python projects. -- Part of the MITx MicroMasters program in Statistics and Data Science.","85,561",Instructor-led on a course schedule,Massachusetts Institute of Technology,Regina Barzilay-Tommi Jaakkola-Karene Chu,Advanced,Computer Science,English,English,10–14 hours per week,15 Weeks,FREE-Add a Verified Certificate for $300 USD,"If you have specific questions about this course, please contact us atsds-mm@mit.edu.Machine learning methods are commonly used across engineering and sciences, from computer systems to physics. Moreover, commercial sites such as search engines, recommender systems (e.g., Netflix, Amazon), advertisers, and financial institutions employ machine learning algorithms for content recommendation, predicting customer behavior, compliance, or risk.As a discipline, machine learning tries to design and understand computer programs that learn from experience for the purpose of prediction or control.In this course, students will learn about principles and algorithms for turning training data into effective automated predictions. We will cover:Students will implement and experiment with the algorithms in several Python projects designed for different practical applications.This course is part of theMITx MicroMasters Program in Statistics and Data Science. Master the skills needed to be an informed and effective practitioner of data science. You will complete this course and three others from MITx, at a similar pace and level of rigor as an on-campus course at MIT, and then take a virtually-proctored exam to earn your MicroMasters, an academic credential that will demonstrate your proficiency in data science or accelerate your path towards an MIT PhD or a Master's at other universities. To learn more about this program, please visit https://micromasters.mit.edu/ds/.",Lectures : Projects : ,https://www.edx.org/course/machine-learning-with-python-from-linear-models-to
Introduction to Data Science,Learn about the world of data science first-hand from real data scientists.,"43,766",Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,English,English,3–6 hours per week,6 Weeks,FREE-Add a Verified Certificate for $39 USD,"The art of uncovering the insights and trends in data has been around for centuries. The ancient Egyptians applied census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do. This field is data science and in this course, you will meet some big data science practitioners and we will get an overview of what data science is today.",,https://www.edx.org/course/intro-to-data-science
Circuits and Electronics 1: Basic Circuit Analysis,"Learn techniques that are foundational to the design of microchips used in smartphones, self-driving cars, computers, and the Internet.","52,639",Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Introductory,Electronics,English,"English, 中文",5–7 hours per week,5 Weeks,FREE-Add a Verified Certificate for $169 USD,"Want to learn about circuits and electronics, but unsure where to begin? Wondering how to make computers run faster or your mobile phone battery last longer? This free circuits course taught by edX CEO and MIT Professor Anant Agarwal and colleagues is for you. This is the first of three online Circuits & Electronics courses offered by Professor Anant Agarwal and colleagues at MIT, and is taken by all MIT Electrical Engineering and Computer Science (EECS) majors. Topics covered include: resistive elements and networks; circuit analysis methods including KVL, KCL and the node method; independent and dependent sources; linearity, superposition, Thevenin & Norton methods; digital abstraction, combinational gates; and MOSFET switches and small signal analysis. Design and lab exercises are also significant components of the course. Weekly coursework includes interactive video sequences, readings from the textbook, homework, online laboratories, and optional tutorials. The course will also have a final exam. This is a self-paced course, so there are no weekly deadlines. However, all assignments are due when the course ends.","Week 1: From physics to electrical engineering; lumped abstraction, KVL, KCL, intuitive simplification techniques, nodal analysis Week 2: Linearity, superposition, Thevenin & Norton methods, digital abstraction, digital logic, combinational gates Week 3: MOSFET switch, MOSFET switch models, nonlinear resistors, nonlinear networks Week 4: Small signal analysis, small signal circuit model, dependent sources",https://www.edx.org/course/circuits-and-electronics-1-basic-circuit-analysi-2
Introduction to Investments,NA,"91,788",Self-paced on your time,Indian Institute of Management Bangalore,S.G. Badrinath,Intermediate,Business & Management,English,English,3–5 hours per week,5 Weeks,FREE-Add a Verified Certificate for $50 USD,"When you complete this course, you will become familiar with the general structure of primary and secondary equity markets from a domestic and international perspective. Beginning with introductory finance notions of risk and return, we examine qualitative concepts such as market efficiency and valuation.These tools should enable you to build valuation models for common stocks. Through this process, you will also learn how professional financial analysts should evaluate companies. The course is suitable for students seeking eventual employment with a brokerage company, investment company or financial services company with responsibilities in evaluating and selecting equity securities for investment portfolios.",,https://www.edx.org/course/introduction-to-investments
Improving Your Business Through a Culture of Health,"Learn how a Culture of Health can transform your business to improve the well-being of your employees and company, while increasing revenue.","54,136",Self-paced on your time,Harvard University,John McDonough-Howard Koh-Amy Edmondson-Jose Alvarez,Introductory,Business & Management,English,English,1–3 hours per week,9 Weeks,FREE-Add a Verified Certificate for $99 USD,"While the United States is one of the world’s wealthiest nations, it is far from the healthiest. Our nation’s burden of disease affects businesses every day, from sick employees and families reducing productivity and increasing costs, to product recalls and failures, to environmental scandals such as toxic chemical emissions harming communities and reputations. Named Runner Up for Best Online Program of 2018 by ProEd, this HarvardX course is presented by leading faculty from the Harvard T.H. Chan School of Public Health and the Harvard Business School and will provide businesses with strategies, tactics, and tools to gain a competitive advantage by implementing a Culture of Health to address these issues and stay ahead. Embracing a Culture of Health can improve your employees’ well-being as well as the health of your consumers, your communities, and the environment. A Culture of Health can help you to reduce costs, increase revenues and profits, and enhance your company’s reputation. For example, employees who work in a healthy and safe environment spend less time away from work for health reasons, decreasing interruptions, while increasing output and employee retention. When employees and customers spend less on health care, they have more disposable income to spend on non–health care needs, boosting the economy, and benefiting your business. Strengthening your business using the Culture of Health approach will enhance the greater good by promoting well-being—benefitting society, your business and employees, your customers and communities, and you.",,https://www.edx.org/course/improving-your-business-through-a-culture-of-healt
Introduction to Linear Models and Matrix Algebra,Learn to use R programming to apply linear models to analyze data in life sciences.,"92,004",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Math,English,English,2–4 hours per week,4 Weeks,FREE-Add a Verified Certificate for $149 USD,"Matrix Algebra underlies many of the current tools for experimental design and the analysis of high-dimensional data. In this introductory online course in data analysis, we will use matrix algebra to represent the linear models that commonly used to model differences between experimental units. We perform statistical inference on these differences. Throughout the course we will use the R programming language to perform matrix operations.Given the diversity in educational background of our students we have divided the series into seven parts. You can take the entire series or individual courses that interest you. If you are a statistician you should consider skipping the first two or three courses, similarly, if you are biologists you should consider skipping some of the introductory biology lectures. Note that the statistics and programming aspects of the class ramp up in difficulty relatively quickly across the first three courses. You will need to know some basic stats for this course. By the third course will be teaching advanced statistical concepts such as hierarchical models and by the fourth advanced software engineering skills, such as parallel computing and reproducible research concepts.These courses make up two Professional Certificates and are self-paced:Data Analysis for Life Sciences:Genomics Data Analysis:This class was supported in part by NIH grant R25GM114818.",,https://www.edx.org/course/introduction-to-linear-models-and-matrix-algebra
DO Your Venture: Entrepreneurship For Everyone,This course is part of a MicroMasters® Program,"61,989",Self-paced on your time,Indian Institute of Management Bangalore,Suresh Bhagavatula,Introductory,Business & Management,English,"English, हिन्दी",3–4 hours per week,6 Weeks,FREE-Add a Verified Certificate for $150 USD,"This hands-on, action oriented business and management course will introduce you to a systematic, scientific and an easy process of testing your ideas and opportunities you envision.You will learn the “DO your Venture” ideology, which will teach you common paths entrepreneurs take when launching their own venture. You will also learn the tools and techniques for generating ideas and then test your ideas in the field and gather feedback.",,https://www.edx.org/course/do-your-venture-entrepreneurship-for-everyone
El valor de la creatividad y la innovación: La Economía Naranja,"El primer curso en abordar la importancia de la creatividad, la innovación y la cultura como herramientas fundamentales para impulsar el desarrollo económico en América Latina.","23,728",Self-paced on your time,Inter-American Development Bank,Marina Casciano-Micaela Cordero-Helga Flores Trejo-Matteo Grazzi,Introductory,Art & Culture,Español,Español,2–4 hours per week,8 Weeks,FREE-Add a Verified Certificate for $25 USD,"¿Qué tienen en común una actriz, un arquitecto, una chef, un creador de videojuegos, una diseñadora aeronáutica, un músico un modista y una artesana?Que todos pertenecen a la Economía Naranja.El Banco Interamericano de Desarrollo ha definido la Economía Naranja como el conjunto de actividades que de manera encadenada permiten que las ideas se transformen en bienes y servicios culturales, cuyo valor está determinado por su contenido de propiedad intelectual.De esta manera, la creatividad, la innovación y la cultura, pueden ser componentes de un gran ecosistema del que forman parte los creadores, los gestores culturales, las ONG, la empresa privada y los gobiernos, y que representa un importante propulsor económico y social para cualquier país.En América Latina y el Caribe contamos con un importante desarrollo de nuestras industrias culturales, creativas y de innovación, así como un valioso patrimonio cultural y artístico, por lo que nuestra región constituye un espacio de potencial desarrollo a través de la Economía Naranja.Si estás involucrado en el ámbito de las actividades artísticas, culturales o de innovación, ya sea como creador, gestor, promotor o legislador, este curso es para ti.Una vez que culmines el curso, estarás en capacidad de:",,https://www.edx.org/course/el-valor-de-la-creatividad-y-la-innovacion-la-economia-naranja
Humanitarian Response to Conflict and Disaster,"Learn the principles guiding humanitarian response to modern emergencies, and the challenges faced in the field today.","119,891",Self-paced on your time,Harvard University,Jennifer Leaning-Michael VanRooyen,Introductory,Health & Safety,English,English,3–4 hours per week,5 Weeks,FREE-Add a Verified Certificate for $99 USD,"From the Syrian refugee crisis to the West Africa Ebola outbreak, humanitarian emergencies have reached unprecedented dimensions and proportions. As need for humanitarian aid grows, how can efforts to alleviate human suffering evolve with it?This course from the Harvard Humanitarian Initiative and HarvardX seeks to prepare learners to recognize and analyze emerging challenges in the humanitarian field. The course explores the ethical and professional principles that guide humanitarian response to conflict and disaster. Participants will learn the legal and historical frameworks that shaped these principles, test their applicability to the challenges faced by humanitarian actors today.Through four case studies covering the responses to crises in Goma (Zaire), Somalia, the Balkans, Afghanistan and Pakistan, participants will engage with Harvard faculty, current practitioners, and one another. These cases introduce major trends affecting the current landscape of humanitarian response – including rapid population displacement, violence against aid workers, and civil-military engagement. Thoughtfully engaging with this course will prepare participants to be informed and aware humanitarian practitioners, scholars, policy-makers, and global citizens.",,https://www.edx.org/course/humanitarian-response-to-conflict-and-disaster
"Women Making History: Ten Objects, Many Stories","Learn how American women created, confronted, and embraced change in the 20th century while exploring ten objects from Radcliffe’s Schlesinger Library.","38,939",Self-paced on your time,Harvard University,Laurel Thatcher Ulrich-Jane Kamensky,Introductory,History,English,English,2–3 hours per week,8 Weeks,FREE-Add a Verified Certificate for $99 USD,"As we approach the centennial of the passage of women’s suffrage in 1920, there has been a recent burst of activism among American women. Women are running for political office in record numbers. Women are organizing and taking to the streets to demand change. Women are grappling with inclusion and intersectionality. While some of this activity may have been a response to the 2016 presidential elections, its roots lie deep in 20th-century history — a history richly preservedin Harvard’s Schlesinger Library building on the library’s 75th Anniversary Exhibit. This course exemplifies the importance of archives in themaking of history. Professors Laurel Ulrich and Jane Kamensky, along with colleagues from across Harvard University and beyond, show how women in the 20th-century United States pushed boundaries, fought for new rights, and challenged contemporary notions of what women could and should do. Through the exploration of ten iconic objects from the Schlesinger collection, they demonstrate how women created change by embracing education, adopting new technologies, and creating innovative works of art; pushing against discrimination and stepping into new roles in public and in private.",,https://www.edx.org/course/women-making-history-ten-objects-many-stories
